"altura" "sapato" "genero"
"1" 162 37 "F"
"2" 165 38 "F"
"3" 188 44 "M"
"4" 167 37 "F"
"5" 164 37 "F"
"6" 173 37 "F"
"7" 166 37 "F"
"8" 172 38 "F"
"9" 167 35 "F"
"10" 171 42 "M"
"11" 171 39 "M"
"12" 168 39 "M"
"13" 177 40 "M"
"14" 188 43 "M"
"15" 162 38 "F"
"16" 155 36 "F"
"17" 160 34 "F"
"18" 169 37 "F"
"19" 179 41 "M"
"20" 190 43 "M"
"21" 158 35 "F"
"22" 174 41 "M"
"23" 165 36 "F"
"24" 156 36 "F"
"25" 175 41 "M"
"26" 161 37 "F"
"27" 167 38 "M"
"28" 178 42 "M"
"29" 165 37 "F"
"30" 170 38 "F"
"31" 154 35 "F"
"32" 176 41 "M"
"33" 182 41 "M"
"34" 161 37 "F"
"35" 172 39 "F"
"36" 174 38 "F"
"37" 175 42 "M"
"38" 166 39 "M"
"39" 185 43 "M"
"40" 178 42 "M"
